% min: [7.232822, 9.483873, 1.00919, 0.448446, 0.451633, 0.854304, 9.635544, 6.669126] 
% max: [383.032661, 316.851432, 170.252791, 75.799328, 74.505034, 167.726755, 329.469749, 335.216314] 
% i/o: [8, 5] 
@relation 'data10000'
@attribute FD1 numeric
@attribute FD2 numeric
@attribute FD3 numeric
@attribute FD4 numeric
@attribute FD5 numeric
@attribute FD6 numeric
@attribute FD7 numeric
@attribute FD8 numeric
@attribute State {1,2,3,4,5}

@data
32.690508,33.158353,7.244486,5.038291,4.924713,7.366273,32.730325,23.678111,3
32.552185,31.541868,7.454004,4.633775,4.404096,7.118897,31.699007,24.009211,3
32.328514,30.046119,7.786822,5.498700,5.387981,7.168473,30.834182,23.718270,3
32.669751,30.618336,9.449803,5.196500,5.315258,8.729995,31.429047,24.343452,3
34.401710,31.870390,7.484160,5.136621,5.159982,7.440428,31.720811,27.171541,3
32.745561,37.087818,9.151825,4.139852,4.300553,8.907412,36.770333,27.026977,3
23.841501,39.183000,8.315046,4.111057,4.299666,7.949218,39.144348,19.311898,3
25.687518,38.912760,11.964947,6.491883,6.343308,11.851596,39.348442,21.473063,3
26.710055,39.003349,10.427685,6.308381,6.451460,10.158489,39.121332,22.971145,3
33.285773,39.323894,10.937825,5.420593,5.210950,10.462343,38.987333,29.327062,3
36.258255,38.778261,10.954138,7.183936,6.352245,11.036277,38.744945,31.391191,3
43.360780,41.183883,10.489204,7.048185,6.802403,9.994889,40.526176,37.593389,3
56.425450,39.012865,8.307735,6.136367,5.561351,8.489209,38.524381,47.558113,3
67.681770,42.098452,8.329880,4.615544,4.521571,8.459644,40.498175,56.924471,3
69.168464,39.863202,10.282043,7.392428,6.842863,10.178665,40.359788,54.125210,3
67.389589,40.114826,14.834101,8.698041,8.793136,14.072600,40.721463,51.133858,3
68.878044,41.764160,9.312383,5.337333,4.896899,9.222342,41.297414,51.809576,3
70.747468,40.055358,13.517410,6.734483,6.389722,13.421206,40.310052,51.951844,3
70.620023,39.491061,11.439375,7.569510,7.662563,10.672774,40.350396,51.229163,3
71.803392,39.183135,11.052041,5.992325,5.806232,10.139724,39.331969,52.584707,3
71.950769,39.748930,9.591491,5.178124,4.903228,9.256694,39.295861,53.197655,3
72.205655,37.846220,8.915560,5.346564,4.977686,9.178397,37.439820,53.618742,3
72.776588,39.197116,10.900808,5.173120,5.017007,10.467146,38.736785,54.539398,3
73.483204,39.412965,10.875674,5.555482,5.409719,10.100362,39.360648,54.194363,3
75.602532,37.209082,10.626866,5.742468,5.184325,10.344335,37.798003,54.699340,3
79.613065,38.320386,14.417908,10.971951,10.857821,13.887473,38.048425,58.552411,3
86.389384,36.233560,11.015107,6.116871,5.506994,11.346397,35.252726,63.909692,3
91.058050,39.882582,9.751121,5.823996,5.307928,10.118537,38.302221,66.886644,3
98.401120,38.055340,10.594789,5.539021,4.932384,10.344639,37.801347,70.451748,3
94.713250,38.585237,10.960306,6.576487,6.397374,10.107478,37.935851,64.973435,3
92.272945,37.494344,17.499497,11.568290,10.567641,17.990342,37.257190,59.813336,3
89.857832,39.082366,15.362561,8.675502,8.144222,15.945503,38.127888,55.592461,3
88.736998,38.888423,14.266556,6.289327,5.781606,14.286223,38.294203,54.146000,3
88.861619,40.236291,13.005059,6.179049,5.583356,13.107311,38.786775,53.874457,3
93.427314,41.685845,14.941265,7.253811,6.469574,14.961452,41.812565,55.396082,3
98.253922,42.840646,17.497753,10.019796,9.716418,17.107378,41.660713,59.403459,3
